Date,Description,Original Description,Category,Amount,Status
2026-08-07,"Mariner Finance                  080726","Mariner Finance                  080726",Category Pending,-101.80,Pending
2026-08-07,"CASEYS #4775                     080726","CASEYS #4775                     080726",Category Pending,-6.25,Pending
2026-08-06,"DD *DOORDASH WABAH               080626","DD *DOORDASH WABAH               080626",Category Pending,-80.55,Pending
2026-08-07,"MOLLY MAID OF GREATE             080726","MOLLY MAID OF GREATE             080726",Category Pending,-250.00,Pending
2026-08-07,"T-Mobile","TMOBILE PO               12920 SE 38THWA",Mobile Phone,-154.67,Posted
2026-08-07,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,464.00,Posted
2026-08-06,"Transfer to Apple Pay","APPLE CASH SENT MONEY    1INFINITELOOPCA",Transfer,-199.51,Posted
2026-08-05,"Just Energy","JUST ENERGY      UTILITIES  ***********0431",Utilities,-362.14,Posted
2026-08-05,"Just Energy","JUST ENERGY      UTILITIES  ***********0432",Utilities,-38.03,Posted
2026-08-05,"H-E-B","H-E-B #721               KILLEEN      TX",Groceries,-135.25,Posted
2026-08-05,"Jamaica Nyammingz","JAMAICA NYAMMINGZ        KILLEEN      TX",Restaurants,-41.59,Posted
2026-08-04,"McDonald's","MCDONALD'S F3011         TEMPLE       TX",Fast Food,-14.16,Posted
2026-08-04,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,2500.00,Posted
2026-08-03,"H-E-B","H-E-B #721               KILLEEN      TX",Groceries,-114.89,Posted
2026-08-03,"Pluckers","TST* PLUCKERS WING BAR   KILLEEN      TX",Restaurants,-99.07,Posted
2026-08-03,"The Point Liquor","THE POINT LIQUOR 7       KILLEEN      TX",Alcohol & Bars,-35.71,Posted
2026-08-03,"Regal","REGAL KILLEEN 14  1636   KILLEEN      TX",Movies & Dvds,-25.41,Posted
2026-08-03,"Casey's","CASEYS #4775             KILLEEN      TX",Gas,-12.81,Posted
2026-08-03,"Chill Zone","CHILL ZONE 6             KILLEEN      TX",Shopping,-11.64,Posted
2026-08-03,"Casey's","CASEYS #4775             KILLEEN      TX",Gas,-4.52,Posted
2026-07-30,"City of Killeen","CITY OF KILLEEN UTILITY  254-5017730  TX",Utilities,-121.00,Posted
2026-07-30,"Youtube TV","GOOGLE *YouTube TV       Mountain ViewCA",Television,-82.99,Posted
2026-07-29,"Mco Camden Food Gates","MCO CAMDEN FOOD GATES    ORLANDO      FL",Food & Dining,-16.50,Posted
2026-07-29,"Dunkin'","TST* DFW 21712 DUNKIN -  DFW AIRPORT  TX",Coffee Shops,-3.97,Posted
2026-07-29,"Defense Finance and Accounting Service","DFAS-CLEVELAND    CRSC PAY  ***********9083",Paycheck,758.37,Posted
2026-07-28,"Youtube TV","GOOGLE *YouTube TV       Mountain ViewCA",Television,-29.99,Posted
2026-07-28,"7-Eleven","7-ELEVEN 30046           ORLANDO      FL",Gas,-11.36,Posted
2026-07-27,"USAA Funds Transfer DB","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2026-07-27,"Easirentcom","EASIRENTCOM              ORLANDO      FL",Rental Car & Taxi,-119.90,Posted
2026-07-27,"Transfer to Apple Pay","APPLE CASH SENT MONEY    1INFINITELOOPCA",Transfer,-100.00,Posted
2026-07-27,"Renaissance Hotel Airp","RENAISSANCE HOTEL AIRP   ORLANDO      FL",Hotel,-55.38,Posted
2026-07-27,"DoorDash","DD *DOORDASH CHINAWOK    DOORDASH.COM CA",Food & Dining,-51.38,Posted
2026-07-27,"University Parking","UNIV PARKING 01400040    ORLANDO      FL",Parking,-35.00,Posted
2026-07-27,"Popeyes","POPEYES STORE #11477     DALLAS       TX",Fast Food,-31.26,Posted
2026-07-27,"American Airlines","AMERICAN AIR00106533392  FORT WORTH   TX",Air Travel,-24.15,Posted
2026-07-27,"American Airlines","AMERICAN AIR00106533392  FORT WORTH   TX",Air Travel,-24.15,Posted
2026-07-27,"Tailwind","TAILWIND GRK             KILLEEN      TX",Restaurants,-16.29,Posted
2026-07-27,"Renaissance Hotel Airp","RENAISSANCE HOTEL AIRP   ORLANDO      FL",Hotel,-16.00,Posted
2026-07-27,"City of Orlando","CITY OF ORLANDO PKG EVE  ORLANDO      FL",Utilities,-10.00,Posted
2026-07-27,"City of Orlando","CITY OF ORLANDO PKG EVE  ORLANDO      FL",Utilities,-10.00,Posted
2026-07-24,"Transfer from Apple Pay","APPLE CASH INST XFER     CUPERTINO    CA",Transfer,1278.03,Posted
